,participant_id,experiment,num_correct,time_taken,Age,Sex,Ethnicity
133,533,marginal,38,118.14,21,Male,Other
134,534,marginal,35,116.34,50,Female,Black
135,535,marginal,36,152.64,23,Female,Black
136,536,marginal,26,221.28,31,Male,White
137,537,marginal,24,108.52,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
138,538,marginal,42,73.33,28,Female,Black
139,539,marginal,38,281.3,47,Female,Black
140,540,marginal,37,64.74,24,Male,White
141,541,marginal,30,137.83,40,Male,White
142,542,marginal,21,74.07,36,Female,Black
143,543,marginal,40,38.03,25,Female,White
144,544,marginal,35,208.4,26,Female,Black
145,545,marginal,30,198.79,42,Female,Black
146,546,marginal,34,148.5,29,Male,White
147,547,marginal,39,61.56,32,Female,White
148,548,marginal,35,65.87,29,Male,White
149,549,marginal,33,284.5,36,Female,Black
150,550,conditional,32,127.36,26,Female,White
151,551,conditional,32,75.03,27,Female,White
152,552,conditional,35,133.35,33,Female,White
153,553,conditional,26,72.82,29,Female,Black
154,554,conditional,35,40.94,40,Male,White
155,555,conditional,36,109.46,23,Female,Black
156,556,conditional,37,107.8,42,Male,White
157,557,conditional,27,188.74,29,Male,Black
158,558,conditional,34,108.68,33,Male,White
159,559,conditional,31,2178.46,25,Male,White
160,560,conditional,34,51.47,44,Male,White
161,561,conditional,25,486.73,37,Female,Black
162,562,conditional,37,90.17,27,Female,Black
163,563,conditional,39,97.34,32,Female,Mixed
164,564,conditional,33,70.14,24,Female,Black
165,565,conditional,30,121.09,53,Female,White
166,566,conditional,33,206.58,44,Male,White
167,567,conditional,37,208.63,27,Female,Black
168,568,conditional,37,203.54,31,Female,Black
169,569,conditional,34,163.41,26,Male,White
170,570,conditional,26,83.39,31,Male,Other
171,571,conditional,32,31.49,50,Female,White
172,572,conditional,40,221.52,22,Female,Black
173,573,conditional,39,121.61,27,Male,Black
174,574,conditional,37,85.47,25,Male,Mixed
175,575,conditional,34,341.85,36,Female,Black
176,576,conditional,42,64.49,21,Male,White
177,577,conditional,29,241.48,41,Female,Black
178,578,conditional,34,75.28,21,Female,White
179,579,conditional,27,169.5,25,Female,Black
180,580,conditional,32,112.24,19,Male,White
181,581,conditional,37,118.95,30,Male,Mixed
182,582,conditional,34,72.2,33,Female,Black
183,583,conditional,33,95.17,25,Male,White
184,584,conditional,40,171.94,51,Male,White
185,585,conditional,33,106.27,27,Male,Other
186,586,conditional,32,88.68,26,Male,Mixed
187,587,conditional,35,66.89,32,Female,White
188,588,conditional,33,216.83,44,Female,Black
189,589,conditional,33,136.0,20,Female,Black
190,590,conditional,34,193.29,23,Male,Black
191,591,conditional,34,115.02,33,Female,White
192,592,conditional,35,188.22,25,Male,White
193,593,conditional,37,119.16,22,Male,White
194,594,conditional,28,247.9,28,Male,Black
195,595,conditional,39,80.92,22,Male,White
196,596,conditional,38,234.69,40,Male,White
197,597,conditional,33,121.87,45,Female,Black
198,598,conditional,31,164.34,22,Female,Black
199,599,conditional,27,517.43,25,Male,Black
