,participant_id,experiment,num_correct,time_taken,Age,Sex,Ethnicity
133,333,marginal,37,320.37,34,Female,Black
134,334,marginal,42,155.59,55,Female,White
135,335,marginal,38,386.78,33,Male,Black
136,336,marginal,36,115.07,30,Male,White
137,337,marginal,41,226.99,23,Female,Black
138,338,marginal,43,315.99,25,Male,Black
139,339,marginal,41,166.49,26,Male,Mixed
140,340,marginal,39,228.16,36,Male,Asian
141,341,marginal,41,246.51,25,Female,White
142,342,marginal,39,302.3,33,Male,Black
143,343,marginal,32,247.13,32,Male,White
144,344,marginal,41,252.71,72,Female,White
145,345,marginal,39,212.0,29,Female,White
146,346,marginal,41,167.22,21,Male,White
147,347,marginal,40,297.06,27,Male,White
148,348,marginal,37,321.08,40,Male,Black
149,349,marginal,42,265.2,32,Female,Black
150,350,conditional,40,321.67,35,Female,Black
151,351,conditional,44,404.67,55,Male,Mixed
152,352,conditional,36,149.73,18,Male,White
153,353,conditional,39,153.23,18,Female,Asian
154,354,conditional,43,155.2,20,Male,White
155,355,conditional,36,321.38,68,Female,White
156,356,conditional,41,218.68,23,Male,Black
157,357,conditional,40,157.81,26,Female,White
158,358,conditional,35,158.42,26,Male,Mixed
159,359,conditional,41,188.13,23,Male,Asian
160,360,conditional,33,323.78,26,Female,Black
161,361,conditional,36,381.27,29,Male,Black
162,362,conditional,42,322.03,27,Male,Mixed
163,363,conditional,38,162.69,23,Female,White
164,364,conditional,35,116.3,30,Male,White
165,365,conditional,37,579.99,32,Female,Black
166,366,conditional,42,117.34,26,Male,White
167,367,conditional,43,151.17,36,Male,White
168,368,conditional,37,283.54,25,Female,Asian
169,369,conditional,40,133.47,25,Female,Asian
170,370,conditional,37,358.72,31,Female,Black
171,371,conditional,36,125.92,28,Male,White
172,372,conditional,42,165.11,23,Female,White
173,373,conditional,40,253.62,48,Female,White
174,374,conditional,42,163.33,26,Male,White
175,375,conditional,41,169.6,21,Female,White
176,376,conditional,41,191.08,25,Male,Black
177,377,conditional,36,210.74,22,Male,White
178,378,conditional,39,237.3,36,Female,White
179,379,conditional,39,325.28,22,Female,Black
180,380,conditional,38,215.09,41,Female,Mixed
181,381,conditional,39,281.66,23,Female,Black
182,382,conditional,39,211.56,33,Female,Mixed
183,383,conditional,40,132.55,34,Male,White
184,384,conditional,42,361.69,44,Female,Black
185,385,conditional,40,234.08,21,Female,White
186,386,conditional,38,260.89,23,Male,White
187,387,conditional,40,181.2,25,Female,Mixed
188,388,conditional,42,242.29,26,Male,Black
189,389,conditional,43,246.49,35,Male,Black
190,390,conditional,40,257.46,33,Female,Mixed
191,391,conditional,35,112.64,29,Female,White
192,392,conditional,35,320.61,28,Male,Black
193,393,conditional,37,298.26,51,Male,White
194,394,conditional,38,455.72,33,Female,White
195,395,conditional,37,179.56,26,Female,White
196,396,conditional,43,690.65,25,Female,Black
197,397,conditional,39,366.69,32,Male,White
198,398,conditional,41,278.15,21,Female,Black
199,399,conditional,37,144.84,23,Male,Mixed
